geneID	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AT5G558601	7.09257406938394e-12	0.568027491453041	0.308	0.2	1.61505004133942e-07	23	AT5G55860
AT4G344802	1.67920049592662e-11	0.382534165387295	0.178	0.081	3.8237074492745e-07	23	AT4G34480
AT5G377402	1.69909466647615e-11	0.706976443705903	0.373	0.275	3.86900846503284e-07	23	AT5G37740
AT5G666001	1.14078373602019e-10	0.311504348853026	0.172	0.081	2.59767864529158e-06	23	AT5G66600
AT4G370101	3.38370597791023e-10	0.289973063953553	0.18	0.084	7.70503688229939e-06	23	AT4G37010
AT1G23390	4.71614984205777e-10	0.353054168201994	0.195	0.101	1.07391448053497e-05	23	AT1G23390
AT4G128805	3.59071693867233e-09	0.543195886633351	0.42	0.318	8.17642154105075e-05	23	AT4G12880
AT4G25660	4.22050783624161e-09	0.715056944429425	0.263	0.173	9.61051839390577e-05	23	AT4G25660
AT1G038501	5.23114670291004e-09	0.377962388428266	0.104	0.041	0.000119118441571965	23	AT1G03850
AT3G136504	6.99843937423794e-09	0.727352250055481	0.16	0.078	0.000159361462990772	23	AT3G13650
AT3G064203	4.19664790594756e-08	0.651409508256975	0.429	0.369	0.000955618694663319	23	AT3G06420
AT1G626401	9.90723745237062e-08	0.746703495367708	0.382	0.34	0.00225597704027931	23	AT1G62640
AT5G404506	1.38030567777187e-07	0.368494854021689	0.438	0.32	0.00314309405885432	23	AT5G40450
AT3G472105	3.40393362951434e-07	0.60145261569688	0.305	0.218	0.00775109726776711	23	AT3G47210
AT1G657202	4.28441157518601e-07	0.46765488728541	0.615	0.701	0.00975603359785607	23	AT1G65720
AT1G65520	5.09434324986945e-07	0.459448788589835	0.269	0.19	0.0116003290142777	23	AT1G65520
AT1G34220	6.32100854147193e-07	0.496667905526693	0.266	0.191	0.0143935685497857	23	AT1G34220
AT1G66480	7.27293710730606e-07	0.356018941352089	0.198	0.12	0.0165612050870466	23	AT1G66480
AT1G484802	1.25417300815761e-06	0.518144075258956	0.284	0.198	0.028558773568757	23	AT1G48480
AT4G249604	1.29728694776151e-06	0.746670989318462	0.456	0.423	0.0295405210874773	23	AT4G24960
AT3G545801	0	3.08016156928059	0.91	0.055	0	24	AT3G54580
AT4G40090	0	3.01553800663761	0.892	0.064	0	24	AT4G40090
AT3G54590	0	2.70871811919214	0.768	0.039	0	24	AT3G54590
AT1G237201	0	2.58856620234239	0.801	0.084	0	24	AT1G23720
AT5G178201	0	2.39143087456141	0.816	0.099	0	24	AT5G17820
AT5G35190	0	2.34182207230006	0.59	0.03	0	24	AT5G35190
AT2G24980	0	2.33413173158109	0.518	0.023	0	24	AT2G24980
AT5G06630	0	2.11094997864828	0.413	0.021	0	24	AT5G06630
AT3G60330	1.01699512745153e-210	1.6518520626394	0.283	0.019	2.31579960471987e-206	24	AT3G60330
AT1G30870	9.69318145310837e-201	1.72251261311752	0.34	0.03	2.20723434868731e-196	24	AT1G30870
AT4G25790	4.84508972577581e-171	1.64311438206571	0.268	0.022	1.10327538145641e-166	24	AT4G25790
AT3G163901	4.57007698890857e-159	1.93494775554155	0.428	0.063	1.04065223114437e-154	24	AT3G16390
AT3G10710	1.21452330616835e-115	1.2535800935211	0.181	0.014	2.76559102047594e-111	24	AT3G10710
AT3G265207	1.36830291547088e-68	1.02241715129938	0.831	0.537	3.11576256881873e-64	24	AT3G26520
AT3G187805	4.86829307964427e-63	0.867881020823718	0.886	0.857	1.1085590171658e-58	24	AT3G18780
AT1G06923	8.52556450530429e-54	0.950711216480625	0.12	0.014	1.94135629350284e-49	24	AT1G06923
AT3G164605	2.082525712063e-52	1.18243180999839	0.744	0.54	4.74211929893865e-48	24	AT3G16460
AT2G457501	5.11364650623353e-50	1.16512577671912	0.211	0.043	1.16442844593444e-45	24	AT2G45750
AT1G63450	1.1091464377939e-45	0.993327712500308	0.127	0.018	2.52563735350048e-41	24	AT1G63450
AT3G21180	4.89096609995039e-45	0.959789087414361	0.127	0.018	1.1137218906197e-40	24	AT3G21180
AT2G210453	1.13786708090538e-43	1.4844926458143	0.452	0.208	2.59103712992964e-39	24	AT2G21045
AT4G099901	4.79816149803567e-39	0.953550374496676	0.16	0.031	1.0925893547177e-34	24	AT4G09990
AT1G451455	3.32884801412475e-38	1.1572004389934	0.654	0.493	7.58011981296347e-34	24	AT1G45145
AT1G73580	9.72475234640075e-36	0.882478222533122	0.105	0.016	2.21442335679891e-31	24	AT1G73580
AT2G015401	7.503850525543e-35	1.58159977012008	0.34	0.14	1.7087018031714e-30	24	AT2G01540
AT1G662001	1.55170086532741e-34	1.57430720661866	0.298	0.109	3.53337804043703e-30	24	AT1G66200
AT2G309308	8.72927243751482e-28	0.822044724823687	0.657	0.483	1.9877426267465e-23	24	AT2G30930
AT2G17390	5.26366657994817e-27	0.259609290927151	0.127	0.504	1.19858951692e-22	24	AT2G17390
AT2G459802	3.96410689931564e-25	0.332936132288101	0.099	0.439	9.02666782043165e-21	24	AT2G45980
AT5G134401	9.57192835908367e-25	0.26083141591503	0.175	0.574	2.17962380664694e-20	24	AT5G13440
AT3G59760	6.30067430612254e-24	0.256437870013521	0.117	0.458	1.43472654624716e-19	24	AT3G59760
AT3G14430	9.58427476067943e-24	0.381324371429111	0.123	0.471	2.18243520575431e-19	24	AT3G14430
AT5G07470	1.2066013957487e-23	0.426757353248657	0.163	0.548	2.74755203825936e-19	24	AT5G07470
AT5G033452	2.59202555316499e-23	0.294639885486861	0.187	0.585	5.90230138711201e-19	24	AT5G03345
AT5G22000	8.95568823992385e-23	0.308430173835511	0.069	0.359	2.03929976911306e-18	24	AT5G22000
AT2G256101	1.30671779990678e-22	0.362653508074394	0.13	0.468	2.97552710216772e-18	24	AT2G25610
AT4G049101	1.92743963196664e-22	0.337916269320513	0.099	0.412	4.38897278595124e-18	24	AT4G04910
AT2G465052	2.48986419278664e-22	0.288719103667372	0.223	0.654	5.66966975339447e-18	24	AT2G46505
AT1G699602	2.78575337446848e-22	0.255942036017433	0.063	0.342	6.34343900900218e-18	24	AT1G69960
AT4G025801	7.80694324472625e-22	0.257889721568144	0.214	0.624	1.77771904625662e-17	24	AT4G02580
AT3G137202	1.02864484146599e-21	0.282908412967555	0.111	0.427	2.3423271685022e-17	24	AT3G13720
AT1G274352	2.49910455169312e-21	0.269023276594789	0.105	0.412	5.69071097466039e-17	24	AT1G27435
AT5G081602	3.94639398847657e-21	0.252241893730874	0.105	0.406	8.98633375116e-17	24	AT5G08160
AT3G56190	5.56585120158836e-21	0.369678363032198	0.184	0.558	1.26739997711369e-16	24	AT3G56190
