locus_name	symbol	full_name
Solyc00g500134.1	Solyc00g500134.1	Solyc00g500134.1
Solyc00g500135.1	Solyc00g500135.1	Solyc00g500135.1
Solyc00g500136.1	Solyc00g500136.1	Solyc00g500136.1
Solyc00g500137.1	Solyc00g500137.1	Solyc00g500137.1
Solyc00g500138.1	Solyc00g500138.1	Solyc00g500138.1
Solyc00g500139.1	Solyc00g500139.1	Solyc00g500139.1
Solyc00g500140.1	Solyc00g500140.1	Solyc00g500140.1
Solyc00g500141.1	Solyc00g500141.1	Solyc00g500141.1
Solyc00g500142.1	Solyc00g500142.1	Solyc00g500142.1
Solyc00g500143.1	Solyc00g500143.1	Solyc00g500143.1
Solyc00g500144.1	Solyc00g500144.1	Solyc00g500144.1
Solyc00g500145.1	Solyc00g500145.1	Solyc00g500145.1
Solyc00g500146.1	Solyc00g500146.1	Solyc00g500146.1
Solyc00g500147.1	Solyc00g500147.1	Solyc00g500147.1
Solyc00g500148.1	Solyc00g500148.1	Solyc00g500148.1
Solyc00g500149.1	Solyc00g500149.1	Solyc00g500149.1
Solyc00g500150.1	Solyc00g500150.1	Solyc00g500150.1
Solyc00g500151.1	Solyc00g500151.1	Solyc00g500151.1
Solyc00g500152.1	Solyc00g500152.1	Solyc00g500152.1
Solyc00g500153.1	Solyc00g500153.1	Solyc00g500153.1
Solyc00g500154.1	Solyc00g500154.1	Solyc00g500154.1
Solyc00g500155.1	Solyc00g500155.1	Solyc00g500155.1
Solyc00g500156.1	Solyc00g500156.1	Solyc00g500156.1
Solyc00g500157.1	Solyc00g500157.1	Solyc00g500157.1
Solyc00g500158.1	Solyc00g500158.1	Solyc00g500158.1
Solyc00g500159.1	Solyc00g500159.1	Solyc00g500159.1
Solyc00g500160.1	Solyc00g500160.1	Solyc00g500160.1
Solyc00g500161.1	Solyc00g500161.1	Solyc00g500161.1
Solyc00g500162.1	Solyc00g500162.1	Solyc00g500162.1
Solyc00g500163.1	Solyc00g500163.1	Solyc00g500163.1
Solyc00g500164.1	Solyc00g500164.1	Solyc00g500164.1
Solyc00g500165.1	Solyc00g500165.1	Solyc00g500165.1
Solyc00g500166.1	Solyc00g500166.1	Solyc00g500166.1
Solyc00g500167.1	Solyc00g500167.1	Solyc00g500167.1
Solyc00g500168.1	Solyc00g500168.1	Solyc00g500168.1
Solyc00g500169.1	Solyc00g500169.1	Solyc00g500169.1
Solyc00g500170.1	Solyc00g500170.1	Solyc00g500170.1
Solyc00g500171.1	Solyc00g500171.1	Solyc00g500171.1
Solyc00g500172.1	Solyc00g500172.1	Solyc00g500172.1
Solyc00g500173.1	Solyc00g500173.1	Solyc00g500173.1
Solyc00g500174.1	Solyc00g500174.1	Solyc00g500174.1
Solyc00g500175.1	Solyc00g500175.1	Solyc00g500175.1
Solyc00g500176.1	Solyc00g500176.1	Solyc00g500176.1
Solyc00g500177.1	Solyc00g500177.1	Solyc00g500177.1
